ID,Name,Category,Difficulty,Description,Hint,Tutorial
21,Deprecated Interface,Security Misconfiguration,2,Use a deprecated B2B interface that was not properly shut down.,The developers who disabled the interface think they could go invisible by just closing their eyes.,
22,Easter Egg,Broken Access Control,4,"Find the hidden <a href=""https://en.wikipedia.org/wiki/Easter_egg_(media)"" target=""_blank"">easter egg</a>.","If you solved one of the three file access challenges, you already know where to find the easter egg.",
23,Email Leak,Sensitive Data Exposure,5,Perform an unwanted information disclosure by accessing data cross-domain.,Try to find and attack an endpoint that responds with user information. SQL Injection is not the solution here.,
24,Empty User Registration,Improper Input Validation,2,Register a user with an empty email and password.,Consider intercepting and playing with the request payload.,
25,Ephemeral Accountant,Injection,4,Log in with the (non-existing) accountant <i>acc0unt4nt@juice-sh.op</i> without ever registering that user.,"Try to create the needed user ""out of thin air"".",
26,Error Handling,Security Misconfiguration,1,Provoke an error that is neither very gracefully nor consistently handled.,Try to submit bad input to forms. Alternatively tamper with URL paths or parameters.,
27,Expired Coupon,Improper Input Validation,4,Successfully redeem an expired campaign coupon code.,Try to identify past special event or holiday campaigns of the shop first.,
28,Extra Language,Broken Anti Automation,5,Retrieve the language file that never made it into production.,"Brute force is not the only option for this challenge, but a perfectly viable one.",
29,Five-Star Feedback,Broken Access Control,2,Get rid of all 5-star customer feedback.,"Once you found admin section of the application, this challenge is almost trivial.",
30,Forged Coupon,Cryptographic Issues,6,Forge a coupon code that gives you a discount of at least 80%.,Try either a) a knowledgeable brute force attack or b) reverse engineering or c) some research in the cloud.,
31,Forged Feedback,Broken Access Control,3,Post some feedback in another user's name.,You can solve this by tampering with the user interface or by intercepting the communication with the RESTful backend.,11
32,Forged Review,Broken Access Control,3,Post a product review as another user or edit any user's existing review.,Observe the flow of product review posting and editing and see if you can exploit it.,
33,Forged Signed JWT,Vulnerable Components,6,Forge an almost properly RSA-signed JWT token that impersonates the (non-existing) user <i>rsa_lord@juice-sh.op</i>.,This challenge is explicitly not about acquiring the RSA private key used for JWT signing.,
34,Forgotten Developer Backup,Sensitive Data Exposure,4,Access a developer's forgotten backup file.,You need to trick a security mechanism into thinking that the file you want has a valid file type.,
35,Forgotten Sales Backup,Sensitive Data Exposure,4,Access a salesman's forgotten backup file.,You need to trick a security mechanism into thinking that the file you want has a valid file type.,
36,Frontend Typosquatting,Vulnerable Components,5,"<a href=""/#/contact"">Inform the shop</a> about a <i>typosquatting</i> imposter that dug itself deep into the frontend. (Mention the exact name of the culprit)",This challenge has nothing to do with mistyping web domains. There is no conveniently misplaced file helping you with this one either. Or is there?,
37,GDPR Data Erasure,Broken Authentication,3,Log in with Chris' erased user account.,"Turns out that something is technically and legally wrong with the implementation of the ""right to be forgotten"" for users.",
38,GDPR Data Theft,Sensitive Data Exposure,4,Steal someone else's personal data without using Injection.,Trick the regular Data Export to give you more than actually belongs to you.,
39,HTTP-Header XSS,XSS,4,"Perform a <i>persisted</i> XSS attack with <code>&lt;iframe src=""javascript:alert(`xss`)""&gt;</code> through an HTTP header. <em>(This challenge is <strong>potentially harmful</strong> on Docker!)</em>",Finding a piece of displayed information that could originate from an HTTP header is part of this challenge.,
40,Imaginary Challenge,Cryptographic Issues,6,"Solve challenge #999. Unfortunately, this challenge does not exist.",You need to trick the hacking progress persistence feature into thinking you solved challenge #999.,
41,Leaked Access Logs,Sensitive Data Exposure,5,Dumpster dive the Internet for a leaked password and log in to the original user account it belongs to. (Creating a new account with the same password does not qualify as a solution.),"Once you have it, a technique called ""Password Spraying"" might prove useful.",
42,Leaked Unsafe Product,Sensitive Data Exposure,4,"Identify an unsafe product that was removed from the shop and <a href=""/#/contact"">inform the shop</a> which ingredients are dangerous.",Your own SQLi and someone else's Ctrl-V will be your accomplices in this challenge!,
43,Legacy Typosquatting,Vulnerable Components,4,"<a href=""/#/contact"">Inform the shop</a> about a <i>typosquatting</i> trick it has been a victim of at least in <code>v6.2.0-SNAPSHOT</code>. (Mention the exact name of the culprit)",This challenge has nothing to do with mistyping web domains. Investigate the forgotten developer's backup file instead.,
44,Login Admin,Injection,2,Log in with the administrator's user account.,Try different SQL Injection attack patterns depending whether you know the admin's email address or not.,7
45,Login Amy,Sensitive Data Exposure,3,"Log in with Amy's original user credentials. (This could take 93.83 billion trillion trillion centuries to brute force, but luckily she did not read the ""One Important Final Note"")",This challenge will make you go after a needle in a haystack.,
46,Login Bender,Injection,3,Log in with Bender's user account.,"If you know Bender's email address, try SQL Injection. Bender's password hash might not help you very much.",13
47,Login Bjoern,Broken Authentication,4,"Log in with Bjoern's Gmail account <i>without</i> previously changing his password, applying SQL Injection, or hacking his Google account.",The security flaw behind this challenge is 100% OWASP Juice Shop's fault and 0% Google's.,
48,Login Jim,Injection,3,Log in with Jim's user account.,"Try cracking Jim's password hash if you harvested it already. Alternatively, if you know Jim's email address, try SQL Injection.",12
49,Login MC SafeSearch,Sensitive Data Exposure,2,Log in with MC SafeSearch's original user credentials without applying SQL Injection or any other bypass.,"You should listen to MC's hit song ""Protect Ya Passwordz"".",
50,Login Support Team,Security Misconfiguration,6,Log in with the support team's original user credentials without applying SQL Injection or any other bypass.,The underlying flaw of this challenge is a lot more human error than technical weakness.,
51,Manipulate Basket,Broken Access Control,3,Put an additional product into another user's shopping basket.,Have an eye on the HTTP traffic while placing products in the shopping basket. Changing the quantity of products already in the basket doesn't count.,
52,Misplaced Signature File,Sensitive Data Exposure,4,"Access a misplaced <a href=""https://github.com/Neo23x0/sigma"">SIEM signature</a> file.",You need to trick a security mechanism into thinking that the file you want has a valid file type.,
53,Multiple Likes,Broken Anti Automation,6,Like any review at least three times as the same user.,Punctuality is the politeness of kings.,
54,Nested Easter Egg,Cryptographic Issues,4,Apply some advanced cryptanalysis to find <i>the real</i> easter egg.,You might have to peel through several layers of tough-as-nails encryption for this challenge.,
55,NoSQL DoS,Injection,4,Let the server sleep for some time. (It has done more than enough hard work for you) <em>(This challenge is <strong>potentially harmful</strong> on Docker!)</em>,This challenge is essentially a stripped-down Denial of Service (DoS) attack.,
56,NoSQL Exfiltration,Injection,5,All your orders are belong to us! Even the ones which don't. <em>(This challenge is <strong>potentially harmful</strong> on Docker!)</em>,Take a close look on how the $where query operator works in MongoDB.,
57,NoSQL Manipulation,Injection,4,Update multiple product reviews at the same time.,Take a close look on how the equivalent of UPDATE-statements in MongoDB work.,
58,Outdated Allowlist,Unvalidated Redirects,1,Let us redirect you to one of our crypto currency addresses which are not promoted any longer.,We might have failed to take this out of our code properly.,
59,Password Strength,Broken Authentication,2,Log in with the administrator's user credentials without previously changing them or applying SQL Injection.,"This one should be equally easy to a) brute force, b) crack the password hash or c) simply guess.",9
60,Payback Time,Improper Input Validation,3,Place an order that makes you rich.,You literally need to make the shop owe you any amount of money.,
61,Premium Paywall,Cryptographic Issues,6,"<i class=""far fa-gem""></i><i class=""far fa-gem""></i><i class=""far fa-gem""></i><i class=""far fa-gem""></i><i class=""far fa-gem""></i><!--IvLuRfBJYlmStf9XfL6ckJFngyd9LfV1JaaN/KRTPQPidTuJ7FR+D/nkWJUF+0xUF07CeCeqYfxq+OJVVa0gNbqgYkUNvn//UbE7e95C+6e+7GtdpqJ8mqm4WcPvUGIUxmGLTTAC2+G9UuFCD1DUjg==--> <a href=""https://blockchain.info/address/1AbKfgvw9psQ41NbLi8kufDQTezwG8DRZm"" target=""_blank""><i class=""fab fa-btc fa-sm""></i> Unlock Premium Challenge</a> to access exclusive content.","You do not have to pay anything to unlock this challenge! Nonetheless, donations are very much appreciated.",
62,Privacy Policy,Miscellaneous,1,Read our privacy policy.,We won't even ask you to confirm that you did. Just read it. Please. Pretty please.,4
63,Privacy Policy Inspection,Security through Obscurity,3,Prove that you actually read our privacy policy.,Only by visiting a special URL you can confirm that you read it carefully.,
64,Product Tampering,Broken Access Control,3,"Change the <code>href</code> of the link within the <a href=""/#/search?q=OWASP SSL Advanced Forensic Tool (O-Saft)"">OWASP SSL Advanced Forensic Tool (O-Saft)</a> product description into <i>https://owasp.slack.com</i>.","Look for one of the following: a) broken admin functionality, b) holes in RESTful API or c) possibility for SQL Injection.",
65,Reflected XSS,XSS,2,"Perform a <i>reflected</i> XSS attack with <code>&lt;iframe src=""javascript:alert(`xss`)""&gt;</code>. <em>(This challenge is <strong>potentially harmful</strong> on Docker!)</em>",Look for a url parameter where its value appears in the page it is leading to.,5
66,Repetitive Registration,Improper Input Validation,1,Follow the DRY principle while registering a user.,You can solve this by cleverly interacting with the UI or bypassing it altogether.,
67,Reset Bender's Password,Broken Authentication,4,"Reset Bender's password via the <a href=""/#/forgot-password"">Forgot Password</a> mechanism with <i>the original answer</i> to his security question.","Not as trivial as Jim's but still not too difficult with some ""Futurama"" background knowledge.",
68,Reset Bjoern's Password,Broken Authentication,5,"Reset the password of Bjoern's internal account via the <a href=""/#/forgot-password"">Forgot Password</a> mechanism with <i>the original answer</i> to his security question.",Nothing a little bit of Facebook stalking couldn't reveal. Might involve a historical twist.,
69,Reset Jim's Password,Broken Authentication,3,"Reset Jim's password via the <a href=""/#/forgot-password"">Forgot Password</a> mechanism with <i>the original answer</i> to his security question.",It's hard for celebrities to pick a security question from a hard-coded list where the answer is not publicly exposed.,
70,Reset Morty's Password,Broken Anti Automation,5,"Reset Morty's password via the <a href=""/#/forgot-password"">Forgot Password</a> mechanism with <i>his obfuscated answer</i> to his security question.",Find a way to bypass the rate limiting and brute force the obfuscated answer to Morty's security question.,
71,Retrieve Blueprint,Sensitive Data Exposure,5,Deprive the shop of earnings by downloading the blueprint for one of its products.,The product you might want to give a closer look is the OWASP Juice Shop Logo (3D-printed).,
72,SSRF,Broken Access Control,6,Request a hidden resource on server through server.,Reverse engineering something bad can make good things happen.,
73,SSTi,Injection,6,Infect the server with juicy malware by abusing arbitrary command execution. <em>(This challenge is <strong>potentially harmful</strong> on Docker!)</em>,"""SSTi"" is a clear indicator that this has nothing to do with anything Angular. Also, make sure to use only our non-malicious malware.",
74,Score Board,Miscellaneous,1,Find the carefully hidden 'Score Board' page.,Try to find a reference or clue behind the scenes. Or simply guess what URL the Score Board might have.,1
75,Security Policy,Miscellaneous,2,"Behave like any ""white-hat"" should before getting into the action.",Undoubtedly you want to read our security policy before conducting any research on our application.,
76,Server-side XSS Protection,XSS,4,"Perform a <i>persisted</i> XSS attack with <code>&lt;iframe src=""javascript:alert(`xss`)""&gt;</code> bypassing a <i>server-side</i> security mechanism. <em>(This challenge is <strong>potentially harmful</strong> on Docker!)</em>","The ""Comment"" field in the ""Customer Feedback"" screen is where you want to put your focus on.",
77,Steganography,Security through Obscurity,4,"<a href=""/#/contact"">Rat out</a> a notorious character hiding in plain sight in the shop. (Mention the exact name of the character)","No matter how good your eyes are, you will need tool assistance for this challenge.",
78,Successful RCE DoS,Insecure Deserialization,6,Perform a Remote Code Execution that occupies the server for a while without using infinite loops. <em>(This challenge is <strong>potentially harmful</strong> on Docker!)</em>,Your attack payload must not trigger the protection against too many iterations.,
79,Supply Chain Attack,Vulnerable Components,5,"<a href=""/#/contact"">Inform the development team</a> about a danger to some of <em>their</em> credentials. (Send them the URL of the <em>original report</em> or an assigned CVE or another identifier of this vulnerability)",This vulnerability will not affect any customer of the shop. It is aimed exclusively at its developers.,
80,Two Factor Authentication,Broken Authentication,5,"Solve the 2FA challenge for user ""wurstbrot"". (Disabling, bypassing or overwriting his 2FA settings does not count as a solution)",The 2FA implementation requires to store a secret for every user. You will need to find a way to access this secret in order to solve this challenge.,
81,Unsigned JWT,Vulnerable Components,5,Forge an essentially unsigned JWT token that impersonates the (non-existing) user <i>jwtn3d@juice-sh.op</i>.,This challenge exploits a weird option that is supported when signing tokens with JWT.,
82,Upload Size,Improper Input Validation,3,Upload a file larger than 100 kB.,"You can attach a small file to the ""Complaint"" form. Investigate how this upload actually works.",
83,Upload Type,Improper Input Validation,3,Upload a file that has no .pdf or .zip extension.,"You can attach a PDF or ZIP file to the ""Complaint"" form. Investigate how this upload actually works.",
84,User Credentials,Injection,4,Retrieve a list of all user credentials via SQL Injection.,Gather information on where user data is stored and how it is addressed. Then craft a corresponding UNION SELECT attack.,
85,Video XSS,XSS,6,Embed an XSS payload <code>&lt;/script&gt;&lt;script&gt;alert(`xss`)&lt;/script&gt;</code> into our promo video. <em>(This challenge is <strong>potentially harmful</strong> on Docker!)</em>,You have to reuse the vulnerability behind one other 6-star challenge to be able to solve this one.,
86,View Basket,Broken Access Control,2,View another user's shopping basket.,Have an eye on the HTTP traffic while shopping. Alternatively try to find a client-side association of users to their basket.,10
87,Vulnerable Library,Vulnerable Components,4,"<a href=""/#/contact"">Inform the shop</a> about a vulnerable library it is using. (Mention the exact library name and version in your comment)","Report one of two possible answers via the ""Customer Feedback"" form. Do not forget to submit the library's version as well.",
88,Weird Crypto,Cryptographic Issues,2,"<a href=""/#/contact"">Inform the shop</a> about an algorithm or library it should definitely not use the way it does.","Report one of four possible answers via the ""Customer Feedback"" form.",
89,Allowlist Bypass,Unvalidated Redirects,4,Enforce a redirect to a page you are not supposed to redirect to.,You have to find a way to beat the allowlist of allowed redirect URLs.,
90,XXE Data Access,XXE,3,Retrieve the content of <code>C:\Windows\system.ini</code> or <code>/etc/passwd</code> from the server. <em>(This challenge is <strong>potentially harmful</strong> on Docker!)</em>,The leverage point for this challenge is the deprecated B2B interface.,
91,XXE DoS,XXE,5,Give the server something to chew on for quite a while. <em>(This challenge is <strong>potentially harmful</strong> on Docker!)</em>,It is not as easy as sending a large amount of data directly to the deprecated B2B interface.,
92,Memory Bomb,Insecure Deserialization,5,Drop some explosive data into a vulnerable file-handling endpoint. <em>(This challenge is <strong>potentially harmful</strong> on Docker!)</em>,This one is actually similar to the XXE DoS challenge in every way except the data format being (ab)used.,
93,Zero Stars,Improper Input Validation,1,Give a devastating zero-star feedback to the store.,"Before you invest time bypassing the API, you might want to play around with the UI a bit.",
94,Missing Encoding,Improper Input Validation,1,"Retrieve the photo of Bjoern's cat in ""melee combat-mode"".",Check the Photo Wall for an image that could not be loaded correctly.,
95,Cross-Site Imaging,Security Misconfiguration,5,"Stick <a href=""https://cataas.com/cat"" target=""_blank"">cute cross-domain kittens</a> all over our delivery boxes.",This challenge would formally have to be in several categories as the developers made multiple gaffes for this to be possible.,
96,Exposed Metrics,Sensitive Data Exposure,1,"Find the endpoint that serves usage data to be scraped by a <a href=""https://github.com/prometheus/prometheus"">popular monitoring system</a>.",Try to guess what URL the endpoint might have.,
97,Deluxe Fraud,Improper Input Validation,3,Obtain a Deluxe Membership without paying for it.,Look closely at what happens when you attempt to upgrade your account.,
98,CSRF,Broken Access Control,3,"Change the name of a user by performing Cross-Site Request Forgery from <a href=""http://htmledit.squarefree.com"">another origin</a>.",Find a form which updates the username and then construct a malicious page in the online HTML editor. You probably need an older browser version for this.,
99,Bonus Payload,XSS,1,Use the bonus payload <code>&lt;iframe width=&quot;100%&quot; height=&quot;166&quot; scrolling=&quot;no&quot; frameborder=&quot;no&quot; allow=&quot;autoplay&quot; src=&quot;https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/771984076&amp;color=%23ff5500&amp;auto_play=true&amp;hide_related=false&amp;show_comments=true&amp;show_user=true&amp;show_reposts=false&amp;show_teaser=true&quot;&gt;&lt;/iframe&gt;</code> in the <i>DOM XSS</i> challenge.,Copy + Paste = Solved!,3
100,Reset Uvogin's Password,Sensitive Data Exposure,4,"Reset Uvogin's password via the <a href=""/#/forgot-password"">Forgot Password</a> mechanism with <i>the original answer</i> to his security question.",You might have to do some OSINT on his social media personas to find out his honest answer to the security question.,
101,Meta Geo Stalking,Sensitive Data Exposure,2,"Determine the answer to John's security question by looking at an upload of him to the Photo Wall and use it to reset his password via the <a href=""/#/forgot-password"">Forgot Password</a> mechanism.",Take a look at the meta data of the corresponding photo.,
102,Visual Geo Stalking,Sensitive Data Exposure,2,"Determine the answer to Emma's security question by looking at an upload of her to the Photo Wall and use it to reset her password via the <a href=""/#/forgot-password"">Forgot Password</a> mechanism.",Take a look at the details in the photo to determine the location of where it was taken.,
103,Kill Chatbot,Vulnerable Components,5,Permanently disable the support chatbot so that it can no longer answer customer queries.,Think of a way to get a hold of the internal workings on the chatbot API.,
104,Poison Null Byte,Improper Input Validation,4,"Bypass a security control with a <a href=""https://hakipedia.com/index.php/Poison_Null_Byte"">Poison Null Byte</a> to access a file not meant for your eyes.",Take a look at the details in the photo to determine the location of where it was taken.,
105,Bully Chatbot,Miscellaneous,1,Receive a coupon code from the support chatbot.,Just keep asking.,
106,Local File Read,Vulnerable Components,5,Gain read access to an arbitrary local file on the web server. <em>(This challenge is <strong>potentially harmful</strong> on Docker!)</em>,You should read up on vulnerabilities in popular NodeJs template engines.,
107,Mass Dispel,Miscellaneous,1,"Close multiple ""Challenge solved""-notifications in one go.",Either check the official documentation or inspect a notification UI element directly.,
108,Security Advisory,Miscellaneous,3,"The Juice Shop is susceptible to a known vulnerability in a library, for which an advisory has already been issued, marking the Juice Shop as <i>known affected</i>. A fix is still pending. <a href=""/#/contact"">Inform the shop</a> about a suitable checksum as proof that you did your due diligence.",Security Advisories are often listed in the security.txt,
109,Exposed credentials,Sensitive Data Exposure,2,"A developer was careless with hardcoding unused, but still valid credentials for a testing account on the client-side.",Have a look at the client-side code in the dev console.,6
110,Leaked API Key,Sensitive Data Exposure,5,"<a href=""/#/contact"">Inform the shop</a> about a leaked API key. (Mention the exact key in your comment)","The API call is part of a scheduled process ""behind the scenes"", i.e. completely unrelated to the web application.",
